parameter,value
"Total consumption",6835.532
"Sum of all exports",1107.807
"Sum of all respiratory flows",2453.04
"Sum of all flows into detritus",3925.159
"Total system throughput",14321.54
"Sum of all production",5245.24
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006513353
"Calculated total net primary production",3506.058
"Total primary production/total respiration",1.429271
"Net system production",1053.018
"Total primary production/total biomass",8.087186
"Total biomass/total throughput",0.03027137
"Total biomass (excluding detritus)",433.5325
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003657
"Total market value",2.14144
"Total shadow value",0.07085867
"Total value",2.212299
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4991473
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.02918
