parameter,value
"Total consumption",6782.935
"Sum of all exports",1077.624
"Sum of all respiratory flows",2454.245
"Sum of all flows into detritus",3831.888
"Total system throughput",14146.69
"Sum of all production",5182.006
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006568171
"Calculated total net primary production",3476.796
"Total primary production/total respiration",1.416646
"Net system production",1022.551
"Total primary production/total biomass",8.08526
"Total biomass/total throughput",0.03039698
"Total biomass (excluding detritus)",430.0166
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003329
"Total market value",2.14144
"Total shadow value",0.07208284
"Total value",2.213523
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5003713
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.028998
