GroupNo,Group,B,PB,QB,EE,GE,FishMort,PredMort,BioAccum,NetMig,OtherMort,NatMort
1,Transient_orca,0.001012649,0.05094726,5.889119,0,0.008651083,0,0,0,0,0.05094726,1
2,Salmon_sharks,0.2191074,0.1013517,5.965008,0.5166325,0.01699104,0.05236159,0,0,0,0.04899012,0.4833675
3,Resident_orca,0.01484964,0.05008226,8.795135,0,0.005694313,0,0,0,0,0.05008226,1
4,Sleeper_sharks,0.1104559,0.06988174,3.662538,0,0.01908014,0,0,0,0,0.06988174,1
5,Halibut,0.6849236,0.3271146,1.741103,0.2372227,0.1878778,0.02503129,0.05256772,0,0,0.2495156,0.9234785
6,Pinnipeds,0.07022066,0.05976504,25.59035,0.8242806,0.002335452,0.009395767,0.0398674,0,0,0.01050188,0.8427882
7,Porpoise,0.01515383,0.1489444,28.96752,0.9080839,0.005141772,0.0002658021,0.1349882,0,0,0.01369039,0.9982154
8,Lingcod,0.07542694,0.5873758,3.184654,0.8580878,0.1844395,0.02105945,0.4829605,0,0,0.0833558,0.9641466
9,Arrowtooth_L,3.880835,0.262868,1.447728,0.133933,0.1815728,0.0003761799,0.03483052,0,0,0.2276613,0.998569
10,Salmon_L,3.436976,1.493194,11.93416,0.6942739,0.1251193,0.5410338,0.4956516,0,0,0.4565082,0.6376666
11,Pacific_cod,0.2984153,1.218016,4.045506,0.6773922,0.3010787,0.2223488,0.6027255,0,0,0.3929414,0.81745
12,Sablefish,0.4812849,0.5746886,6.257114,0.8381096,0.09184562,0.03887574,0.4427763,0,0,0.09303658,0.9323534
13,Arrowtooth_S,0.2494716,0.2123764,3.252775,0.9041568,0.06529083,0,0.1920216,0,0,0.02035483,1
14,Spiny_dogfish,0.1578193,0.08953197,3.032304,0.7504867,0.02952605,0,0.06719255,0,0,0.02233942,1
15,Avian_raptors,0.003269514,0.04961858,36.87542,0,0.001345573,0,0,0,0,0.04961858,1
16,Octopods,0.1487956,3.103921,11.52451,0.9767177,0.2693322,0.001553053,3.030102,0,0,0.07226658,0.9994996
17,Seabirds,0.02204709,0.166565,151.5361,0.6876003,0.001099177,0,0.1145301,0,0,0.05203485,1
18,Deep_demersals,1.006559,0.9918638,3.283054,0.9322723,0.3021162,0.002684269,0.922003,0,0,0.06717664,0.9972937
19,Pollock_L,4.965279,1.240102,2.794373,0.587644,0.4437853,0.03281669,0.6959215,0,0,0.5113633,0.9735371
20,Rockfish,1.00397,0.2935869,3.42678,0.8133856,0.08567426,0.01365483,0.2251445,0,0,0.05478754,0.9534897
21,Baleen_whales,0.148527,0.05051028,10.988,0.07571358,0.00459686,0,0.003824314,0,0,0.04668597,1
22,Salmon_fry_S,0.7677312,2.195463,27.43724,0.1771723,0.08001764,0,0.3889753,0,0,1.806488,1
23,Nshore_demersal,4.171617,0.9765061,4.156805,0.8062404,0.2349175,3.851988E-05,0.7872602,0,0,0.1892074,0.9999605
24,Squids,2.96859,3.004294,15.19739,0.9358955,0.1976848,3.948154E-05,2.811666,0,0,0.1925888,0.9999869
25,Eulachon,1.090217,2.490651,17.73678,0.6822157,0.140423,0.0001198417,1.699041,0,0,0.7914898,0.9999519
26,Sea_otters,0.04242811,0.1295561,118.8978,0.005199047,0.001089643,4.184113E-06,0.0006693843,0,0,0.1288825,0.9999677
27,Deep_epibenthos,29.22585,2.974617,10.20871,0.9690728,0.2913804,0.0001599544,2.88246,0,0,0.09199651,0.9999462
28,Capelin,0.4388188,3.391173,17.7914,0.5745817,0.1906074,0.0001462811,1.948359,0,0,1.442667,0.9999568
29,Herring_L,2.932555,0.3971102,3.506577,0.9611231,0.1132472,0.0003596561,0.381312,0,0,0.01543841,0.9990943
30,Pollock_S,0.5707198,2.376844,8.01887,0.4087068,0.2964064,0,0.9714323,0,0,1.405412,1
31,Invert_eat_seaduck,0.0002630925,0.2056168,150.0425,0.7261328,0.001370391,0,0.1493051,0,0,0.05631169,1
32,Oystercatchers,0.0003085807,0.2977567,150.6345,0.9185405,0.001976684,0,0.2735016,0,0,0.0242551,1
33,Sandlance,0.5936142,1.991648,17.60855,0.7413214,0.1131069,0,1.476451,0,0,0.5151966,1
34,Sunflower_stars,0.3593034,2.019158,9.978483,0.9559824,0.2023512,0,1.93028,0,0,0.08887841,1
35,Pisaster_Evasterias,1.029397,1.969545,9.774566,0.5830063,0.2014969,0,1.148257,0,0,0.8212878,1
36,Leather_stars,0.9985675,2.025326,9.912071,0.5345663,0.2043292,0,1.082671,0,0,0.9426549,1
37,Cucumbers,0.517152,0.6034503,3.378686,0.7544676,0.178605,1.452184E-07,0.4552835,0,0,0.1481666,0.9999998
38,Urchins,0.6047077,0.6056355,2.739616,0.7681143,0.2210658,3.208162E-07,0.4651969,0,0,0.1404382,0.9999995
39,Helmet_crab,0.8463691,1.957177,10.25286,0.8842267,0.1908909,0,1.730588,0,0,0.2265889,1
40,Herring_S,1.977739,1.462182,8.168056,0.7772665,0.1790122,0,1.136505,0,0,0.3256769,1
41,Jellies,6.436147,5.077581,29.54516,0.0536586,0.1718583,0,0.2724559,0,0,4.805125,1
42,Deep_infauna_S,50.30042,3.016887,22.77122,0.8947017,0.1324868,0,2.699214,0,0,0.3176732,1
43,Zoopl_near_onmiv,0.1074495,7.946281,26.08777,0.6818159,0.3045979,0,5.417901,0,0,2.528381,1
44,Zoop_omniv,25.12974,11.75068,22.5954,0.8201751,0.5200476,0,9.637619,0,0,2.113065,1
45,Shallow_infauna_S,52.60468,3.775587,22.57773,0.8985949,0.1672262,0,3.392723,0,0,0.3828639,1
46,Meiofauna,4.512162,4.545082,22.52814,0.9353306,0.2017513,0,4.251154,0,0,0.2939278,1
47,Deep_infauna_L,28.37878,0.5641397,23.21649,0.9946721,0.0242991,0,0.561134,0,0,0.003005669,1
48,Snail_crust_S,19.4125,2.316798,10.28797,0.956275,0.2251948,8.315671E-07,2.215495,0,0,0.1013019,0.9999996
49,Mussels,8.42624,2.281138,9.920424,0.4015732,0.2299436,4.748405E-07,0.9160434,0,0,1.365094,0.9999998
50,Barnacles,8.698994,2.344001,9.989868,0.3392482,0.2346378,0,0.7951981,0,0,1.548803,1
51,Shallow_infauna_clams,12.52245,0.6010365,23.0186,0.6161048,0.02611091,3.960298E-05,0.3702619,0,0,0.2307351,0.9999341
52,Zoopl_near_herb,2.496222,26.56636,87.32957,0.8001667,0.304208,0,21.25751,0,0,5.308842,1
53,Zoopl_herb,29.06691,23.96048,50.77139,0.7148634,0.4719287,0,17.12847,0,0,6.832009,1
54,Phyto_near,5.796815,185.7912,0,0.9448687,-9999,0,175.5483,0,0,10.2429,1
55,Phyto_off,10.46965,191.6151,0,0.9567182,-9999,0,183.3217,0,0,8.293446,1
56,Fucus,24.54017,3.964164,0,0.02121086,-9999,0,0.08408333,0,0,3.880081,1
57,Subtidal_kelps,24.89336,4.012235,0,0.1937431,-9999,0,0.7773429,0,0,3.234892,1
58,Macroalgae_other,25.40999,3.909246,0,0.2897374,-9999,0,1.132655,0,0,2.776591,1
59,Eelgrass,24.68362,3.936307,0,0,-9999,0,0,0,0,3.936307,1
60,Nekton_falls,2,-9999,-9999,0.757748,-9999,0,0,0,-1.25,-2422.278,1
61,Inshore_detritus,19.52,-9999,-9999,0.7117854,-9999,0,0,0,-0.2459016,-2881.858,1
62,Offshore_detritus,114.48,-9999,-9999,0.5969846,-9999,0,0,0,-0.04192872,-4029.751,1
