parameter,value
"Total consumption",6814.947
"Sum of all exports",1199.539
"Sum of all respiratory flows",2410.269
"Sum of all flows into detritus",3930.61
"Total system throughput",14355.37
"Sum of all production",5323.815
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006424078
"Calculated total net primary production",3554.781
"Total primary production/total respiration",1.474848
"Net system production",1144.512
"Total primary production/total biomass",8.245826
"Total biomass/total throughput",0.03003063
"Total biomass (excluding detritus)",431.1007
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999242
"Total market value",2.14144
"Total shadow value",0.07413588
"Total value",2.215576
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5024244
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.036348
