parameter,value
"Total consumption",6798.239
"Sum of all exports",1181.441
"Sum of all respiratory flows",2412.232
"Sum of all flows into detritus",3896.304
"Total system throughput",14288.22
"Sum of all production",5294.756
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000645434
"Calculated total net primary production",3538.114
"Total primary production/total respiration",1.466739
"Net system production",1125.883
"Total primary production/total biomass",8.230244
"Total biomass/total throughput",0.03008716
"Total biomass (excluding detritus)",429.8918
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.20029
"Total market value",2.14144
"Total shadow value",0.0713473
"Total value",2.212787
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4996358
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031214
