parameter,value
"Total consumption",6783.382
"Sum of all exports",1078.048
"Sum of all respiratory flows",2431.282
"Sum of all flows into detritus",3824.995
"Total system throughput",14117.71
"Sum of all production",5182.445
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006611622
"Calculated total net primary production",3453.947
"Total primary production/total respiration",1.420628
"Net system production",1022.665
"Total primary production/total biomass",8.028795
"Total biomass/total throughput",0.03047201
"Total biomass (excluding detritus)",430.1949
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004078
"Total market value",2.14144
"Total shadow value",0.07224049
"Total value",2.213681
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5005292
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034705
