parameter,value
"Total consumption",6782.331
"Sum of all exports",1251.608
"Sum of all respiratory flows",2386.288
"Sum of all flows into detritus",3957.264
"Total system throughput",14377.49
"Sum of all production",5356.673
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006375239
"Calculated total net primary production",3582.014
"Total primary production/total respiration",1.501082
"Net system production",1195.726
"Total primary production/total biomass",8.32969
"Total biomass/total throughput",0.02990992
"Total biomass (excluding detritus)",430.0297
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003092
"Total market value",2.14144
"Total shadow value",0.06927539
"Total value",2.210715
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.497564
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035428
