parameter,value
"Total consumption",6780.982
"Sum of all exports",1118.132
"Sum of all respiratory flows",2425.776
"Sum of all flows into detritus",3850.18
"Total system throughput",14175.07
"Sum of all production",5222.125
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006546066
"Calculated total net primary production",3488.537
"Total primary production/total respiration",1.438112
"Net system production",1062.761
"Total primary production/total biomass",8.099408
"Total biomass/total throughput",0.03038539
"Total biomass (excluding detritus)",430.7151
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003669
"Total market value",2.14144
"Total shadow value",0.06865311
"Total value",2.210093
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4969417
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.026993
