parameter,value
"Total consumption",6683.596
"Sum of all exports",1098.453
"Sum of all respiratory flows",2376.625
"Sum of all flows into detritus",3763.994
"Total system throughput",13922.67
"Sum of all production",5143.685
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006678041
"Calculated total net primary production",3419.595
"Total primary production/total respiration",1.438845
"Net system production",1042.97
"Total primary production/total biomass",8.001814
"Total biomass/total throughput",0.03069472
"Total biomass (excluding detritus)",427.3524
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001563
"Total market value",2.14144
"Total shadow value",0.07015221
"Total value",2.211592
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4984409
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032521
