parameter,value
"Total consumption",6743.386
"Sum of all exports",1164.54
"Sum of all respiratory flows",2378.354
"Sum of all flows into detritus",3879.557
"Total system throughput",14165.84
"Sum of all production",5245.167
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006546245
"Calculated total net primary production",3488.441
"Total primary production/total respiration",1.466746
"Net system production",1110.087
"Total primary production/total biomass",8.135402
"Total biomass/total throughput",0.03026984
"Total biomass (excluding detritus)",428.7977
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003575
"Total market value",2.14144
"Total shadow value",0.06890922
"Total value",2.210349
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4971977
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.027532
