parameter,value
"Total consumption",6674.195
"Sum of all exports",1208.51
"Sum of all respiratory flows",2374.931
"Sum of all flows into detritus",3904.053
"Total system throughput",14161.69
"Sum of all production",5248.027
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006473152
"Calculated total net primary production",3527.832
"Total primary production/total respiration",1.485446
"Net system production",1152.901
"Total primary production/total biomass",8.249095
"Total biomass/total throughput",0.03019858
"Total biomass (excluding detritus)",427.6629
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000823
"Total market value",2.14144
"Total shadow value",0.0707186
"Total value",2.212158
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4990071
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03371
