parameter,value
"Total consumption",6771.383
"Sum of all exports",1158.556
"Sum of all respiratory flows",2434.516
"Sum of all flows into detritus",3935.067
"Total system throughput",14299.52
"Sum of all production",5256.587
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006453154
"Calculated total net primary production",3538.765
"Total primary production/total respiration",1.45358
"Net system production",1104.248
"Total primary production/total biomass",8.18852
"Total biomass/total throughput",0.03022211
"Total biomass (excluding detritus)",432.1617
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004825
"Total market value",2.14144
"Total shadow value",0.07284553
"Total value",2.214285
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.501134
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031423
