parameter,value
"Total consumption",6791.228
"Sum of all exports",1105.006
"Sum of all respiratory flows",2445.937
"Sum of all flows into detritus",3841.394
"Total system throughput",14183.56
"Sum of all production",5214.889
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006531765
"Calculated total net primary production",3496.175
"Total primary production/total respiration",1.429381
"Net system production",1050.238
"Total primary production/total biomass",8.152434
"Total biomass/total throughput",0.03023573
"Total biomass (excluding detritus)",428.8505
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005017
"Total market value",2.14144
"Total shadow value",0.07239082
"Total value",2.213831
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5006794
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.037591
