parameter,value
"Total consumption",6718.428
"Sum of all exports",1176.98
"Sum of all respiratory flows",2378.483
"Sum of all flows into detritus",3919.5
"Total system throughput",14193.39
"Sum of all production",5243.921
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006522045
"Calculated total net primary production",3501.385
"Total primary production/total respiration",1.472109
"Net system production",1122.903
"Total primary production/total biomass",8.106575
"Total biomass/total throughput",0.03043101
"Total biomass (excluding detritus)",431.9192
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200544
"Total market value",2.14144
"Total shadow value",0.07644163
"Total value",2.217881
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5047301
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030252
