parameter,value
"Total consumption",6740.616
"Sum of all exports",1104.807
"Sum of all respiratory flows",2422.071
"Sum of all flows into detritus",3836.524
"Total system throughput",14104.02
"Sum of all production",5186.678
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006575781
"Calculated total net primary production",3472.773
"Total primary production/total respiration",1.433803
"Net system production",1050.702
"Total primary production/total biomass",8.079258
"Total biomass/total throughput",0.03047629
"Total biomass (excluding detritus)",429.8381
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004565
"Total market value",2.14144
"Total shadow value",0.06784122
"Total value",2.209281
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4961299
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.029185
