parameter,value
"Total consumption",6769.613
"Sum of all exports",1231.248
"Sum of all respiratory flows",2428.398
"Sum of all flows into detritus",3985.405
"Total system throughput",14414.66
"Sum of all production",5328.259
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006334729
"Calculated total net primary production",3604.921
"Total primary production/total respiration",1.484485
"Net system production",1176.522
"Total primary production/total biomass",8.344557
"Total biomass/total throughput",0.02997008
"Total biomass (excluding detritus)",432.0086
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002536
"Total market value",2.14144
"Total shadow value",0.07044597
"Total value",2.211886
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4987346
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033726
