parameter,value
"Total consumption",6757.614
"Sum of all exports",1185.627
"Sum of all respiratory flows",2429.159
"Sum of all flows into detritus",3910.817
"Total system throughput",14283.22
"Sum of all production",5275.508
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006414124
"Calculated total net primary production",3560.298
"Total primary production/total respiration",1.46565
"Net system production",1131.139
"Total primary production/total biomass",8.252778
"Total biomass/total throughput",0.0302037
"Total biomass (excluding detritus)",431.406
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004286
"Total market value",2.14144
"Total shadow value",0.06939153
"Total value",2.210831
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4976801
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.02694
