parameter,value
"Total consumption",6836.882
"Sum of all exports",1250.198
"Sum of all respiratory flows",2420.323
"Sum of all flows into detritus",4040.167
"Total system throughput",14547.57
"Sum of all production",5387.069
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006314985
"Calculated total net primary production",3616.191
"Total primary production/total respiration",1.494094
"Net system production",1195.868
"Total primary production/total biomass",8.359182
"Total biomass/total throughput",0.02973699
"Total biomass (excluding detritus)",432.601
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004552
"Total market value",2.14144
"Total shadow value",0.06975802
"Total value",2.211198
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4980465
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.026423
