parameter,value
"Total consumption",6745.905
"Sum of all exports",1169.221
"Sum of all respiratory flows",2403.454
"Sum of all flows into detritus",3920.558
"Total system throughput",14239.14
"Sum of all production",5251.084
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006492968
"Calculated total net primary production",3517.066
"Total primary production/total respiration",1.463338
"Net system production",1113.612
"Total primary production/total biomass",8.196424
"Total biomass/total throughput",0.03013509
"Total biomass (excluding detritus)",429.0976
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000884
"Total market value",2.14144
"Total shadow value",0.07527631
"Total value",2.216716
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.503565
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035138
