parameter,value
"Total consumption",6796.803
"Sum of all exports",1090.224
"Sum of all respiratory flows",2450.115
"Sum of all flows into detritus",3856.154
"Total system throughput",14193.3
"Sum of all production",5203.719
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000655401
"Calculated total net primary production",3484.309
"Total primary production/total respiration",1.4221
"Net system production",1034.194
"Total primary production/total biomass",8.13252
"Total biomass/total throughput",0.03018619
"Total biomass (excluding detritus)",428.4415
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005405
"Total market value",2.14144
"Total shadow value",0.0685197
"Total value",2.20996
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4968082
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03554
