parameter,value
"Total consumption",6875.981
"Sum of all exports",1227.69
"Sum of all respiratory flows",2466.524
"Sum of all flows into detritus",4005.334
"Total system throughput",14575.53
"Sum of all production",5388.03
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006275707
"Calculated total net primary production",3638.824
"Total primary production/total respiration",1.475284
"Net system production",1172.3
"Total primary production/total biomass",8.360261
"Total biomass/total throughput",0.02986186
"Total biomass (excluding detritus)",435.2524
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003212
"Total market value",2.14144
"Total shadow value",0.06915097
"Total value",2.210591
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4974395
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.029638
