parameter,value
"Total consumption",6666.96
"Sum of all exports",1126.087
"Sum of all respiratory flows",2372.086
"Sum of all flows into detritus",3808.652
"Total system throughput",13973.78
"Sum of all production",5161.673
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006632345
"Calculated total net primary production",3443.155
"Total primary production/total respiration",1.451531
"Net system production",1071.069
"Total primary production/total biomass",8.095114
"Total biomass/total throughput",0.03043825
"Total biomass (excluding detritus)",425.3375
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005594
"Total market value",2.14144
"Total shadow value",0.07345925
"Total value",2.214899
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5017477
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035088
