parameter,value
"Total consumption",6660.405
"Sum of all exports",1081.807
"Sum of all respiratory flows",2371.452
"Sum of all flows into detritus",3765.796
"Total system throughput",13879.46
"Sum of all production",5114.151
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006720771
"Calculated total net primary production",3397.854
"Total primary production/total respiration",1.432816
"Net system production",1026.402
"Total primary production/total biomass",7.968404
"Total biomass/total throughput",0.0307228
"Total biomass (excluding detritus)",426.4158
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200388
"Total market value",2.14144
"Total shadow value",0.07248745
"Total value",2.213927
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5007759
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034879
