parameter,value
"Total consumption",6772.725
"Sum of all exports",1097.052
"Sum of all respiratory flows",2433.091
"Sum of all flows into detritus",3837.562
"Total system throughput",14140.43
"Sum of all production",5196.596
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006570599
"Calculated total net primary production",3475.512
"Total primary production/total respiration",1.428435
"Net system production",1042.42
"Total primary production/total biomass",8.115801
"Total biomass/total throughput",0.0302848
"Total biomass (excluding detritus)",428.2401
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000304
"Total market value",2.14144
"Total shadow value",0.07265546
"Total value",2.214095
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.500944
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035764
