parameter,value
"Total consumption",6703.115
"Sum of all exports",1155.582
"Sum of all respiratory flows",2397.251
"Sum of all flows into detritus",3857.703
"Total system throughput",14113.65
"Sum of all production",5211.323
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006532202
"Calculated total net primary production",3495.941
"Total primary production/total respiration",1.458313
"Net system production",1098.69
"Total primary production/total biomass",8.083399
"Total biomass/total throughput",0.03064296
"Total biomass (excluding detritus)",432.484
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003469
"Total market value",2.14144
"Total shadow value",0.07405524
"Total value",2.215495
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5023438
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035673
