parameter,value
"Total consumption",6758.945
"Sum of all exports",1102.368
"Sum of all respiratory flows",2397.948
"Sum of all flows into detritus",3824.162
"Total system throughput",14083.42
"Sum of all production",5193.552
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006629513
"Calculated total net primary production",3444.626
"Total primary production/total respiration",1.436489
"Net system production",1046.678
"Total primary production/total biomass",8.029419
"Total biomass/total throughput",0.03046139
"Total biomass (excluding detritus)",429.0006
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002284
"Total market value",2.14144
"Total shadow value",0.07137406
"Total value",2.212814
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4996625
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034587
