GroupNo,Group,B,PB,QB,EE,GE,FishMort,PredMort,BioAccum,NetMig,OtherMort,NatMort
1,Transient_orca,0.0009970904,0.04958796,5.93385,0,0.008356794,0,0,0,0,0.04958796,1
2,Salmon_sharks,0.2179564,0.09955005,6.013133,0.5287603,0.01655544,0.05263811,0,0,0,0.04691194,0.4712397
3,Resident_orca,0.01528631,0.05056437,8.554231,0,0.005911036,0,0,0,0,0.05056437,1
4,Sleeper_sharks,0.1113434,0.07069006,3.614448,0,0.01955763,0,0,0,0,0.07069006,1
5,Halibut,0.6598244,0.3195118,1.714459,0.2598713,0.1863631,0.02598346,0.05704848,0,0,0.2364799,0.9186776
6,Pinnipeds,0.07215988,0.06011221,25.41606,0.7924072,0.002365127,0.009143267,0.03849008,0,0,0.01247886,0.8478967
7,Porpoise,0.01469694,0.154246,28.70709,0.8970162,0.005373096,0.0002740652,0.1380871,0,0,0.01588483,0.9982232
8,Lingcod,0.07579589,0.578918,3.222369,0.8547716,0.179656,0.02095694,0.4738857,0,0,0.08407536,0.9637998
9,Arrowtooth_L,3.910185,0.2576675,1.474175,0.1349653,0.1747876,0.0003733563,0.0344028,0,0,0.2228913,0.998551
10,Salmon_L,3.356643,1.496023,12.32269,0.709622,0.1214039,0.553982,0.5076286,0,0,0.434412,0.6296968
11,Pacific_cod,0.309439,1.185797,3.974772,0.6578274,0.2983307,0.2144277,0.5656219,0,0,0.4057471,0.8191699
12,Sablefish,0.4691349,0.5581059,6.241249,0.8800498,0.08942216,0.03988257,0.4512784,0,0,0.06694494,0.9285395
13,Arrowtooth_S,0.2458237,0.2248515,3.332487,0.8854323,0.06747259,0,0.1990908,0,0,0.02576072,1
14,Spiny_dogfish,0.1538142,0.09208952,2.958876,0.7507181,0.03112315,0,0.06913327,0,0,0.02295625,1
15,Avian_raptors,0.003287068,0.04828471,36.55219,0,0.00132098,0,0,0,0,0.04828471,1
16,Octopods,0.1581075,3.083149,11.93992,0.9514951,0.2582219,0.001461584,2.93214,0,0,0.1495478,0.999526
