parameter,value
"Total consumption",6643.668
"Sum of all exports",1122.028
"Sum of all respiratory flows",2358.608
"Sum of all flows into detritus",3799.249
"Total system throughput",13923.55
"Sum of all production",5144.253
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006665611
"Calculated total net primary production",3425.972
"Total primary production/total respiration",1.452539
"Net system production",1067.363
"Total primary production/total biomass",7.954913
"Total biomass/total throughput",0.03093131
"Total biomass (excluding detritus)",430.6737
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000283
"Total market value",2.14144
"Total shadow value",0.07472211
"Total value",2.216162
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5030106
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034437
