parameter,value
"Total consumption",6742.885
"Sum of all exports",1135.029
"Sum of all respiratory flows",2396.287
"Sum of all flows into detritus",3822.219
"Total system throughput",14096.42
"Sum of all production",5215.914
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006571106
"Calculated total net primary production",3475.243
"Total primary production/total respiration",1.450262
"Net system production",1078.956
"Total primary production/total biomass",8.118867
"Total biomass/total throughput",0.03036554
"Total biomass (excluding detritus)",428.0454
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000093
"Total market value",2.14144
"Total shadow value",0.07035638
"Total value",2.211796
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4986449
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034725
