parameter,value
"Total consumption",6810.751
"Sum of all exports",1144.54
"Sum of all respiratory flows",2454.778
"Sum of all flows into detritus",3896.611
"Total system throughput",14306.68
"Sum of all production",5267.378
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006442173
"Calculated total net primary production",3544.797
"Total primary production/total respiration",1.444039
"Net system production",1090.018
"Total primary production/total biomass",8.239464
"Total biomass/total throughput",0.03007139
"Total biomass (excluding detritus)",430.2218
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001161
"Total market value",2.14144
"Total shadow value",0.07096622
"Total value",2.212406
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4992548
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032058
