parameter,value
"Total consumption",6818.407
"Sum of all exports",1165.419
"Sum of all respiratory flows",2422.287
"Sum of all flows into detritus",3920.998
"Total system throughput",14327.11
"Sum of all production",5293.081
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006463751
"Calculated total net primary production",3532.963
"Total primary production/total respiration",1.458524
"Net system production",1110.677
"Total primary production/total biomass",8.155021
"Total biomass/total throughput",0.03023816
"Total biomass (excluding detritus)",433.2256
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999643
"Total market value",2.14144
"Total shadow value",0.07227653
"Total value",2.213717
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5005652
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031808
