parameter,value
"Total consumption",6879.262
"Sum of all exports",1136.845
"Sum of all respiratory flows",2492.153
"Sum of all flows into detritus",3945.303
"Total system throughput",14453.56
"Sum of all production",5300.234
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006390525
"Calculated total net primary production",3573.446
"Total primary production/total respiration",1.433879
"Net system production",1081.292
"Total primary production/total biomass",8.205461
"Total biomass/total throughput",0.0301307
"Total biomass (excluding detritus)",435.4961
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003875
"Total market value",2.14144
"Total shadow value",0.07403931
"Total value",2.215479
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5023278
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.028979
