parameter,value
"Total consumption",6716.002
"Sum of all exports",1206.613
"Sum of all respiratory flows",2374.113
"Sum of all flows into detritus",3921.126
"Total system throughput",14217.85
"Sum of all production",5272.659
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006476745
"Calculated total net primary production",3525.875
"Total primary production/total respiration",1.485134
"Net system production",1151.762
"Total primary production/total biomass",8.222968
"Total biomass/total throughput",0.03015812
"Total biomass (excluding detritus)",428.7837
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002853
"Total market value",2.14144
"Total shadow value",0.07090748
"Total value",2.212348
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4991962
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03534
