parameter,value
"Total consumption",6762.418
"Sum of all exports",1156.719
"Sum of all respiratory flows",2420.015
"Sum of all flows into detritus",3902.026
"Total system throughput",14241.18
"Sum of all production",5249.419
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006482351
"Calculated total net primary production",3522.826
"Total primary production/total respiration",1.455704
"Net system production",1102.811
"Total primary production/total biomass",8.188427
"Total biomass/total throughput",0.03020958
"Total biomass (excluding detritus)",430.2201
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005921
"Total market value",2.14144
"Total shadow value",0.07137756
"Total value",2.212817
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4996661
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032809
