parameter,value
"Total consumption",6689.413
"Sum of all exports",1080.893
"Sum of all respiratory flows",2405.348
"Sum of all flows into detritus",3794.26
"Total system throughput",13969.91
"Sum of all production",5131.575
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006652381
"Calculated total net primary production",3432.785
"Total primary production/total respiration",1.427147
"Net system production",1027.438
"Total primary production/total biomass",7.993591
"Total biomass/total throughput",0.03074051
"Total biomass (excluding detritus)",429.4422
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2004483
"Total market value",2.14144
"Total shadow value",0.06770889
"Total value",2.209149
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4959975
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.029854
