parameter,value
"Total consumption",6783.077
"Sum of all exports",1161.354
"Sum of all respiratory flows",2424.644
"Sum of all flows into detritus",3838.085
"Total system throughput",14207.16
"Sum of all production",5265.661
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006466902
"Calculated total net primary production",3531.242
"Total primary production/total respiration",1.456396
"Net system production",1106.597
"Total primary production/total biomass",8.22236
"Total biomass/total throughput",0.03022899
"Total biomass (excluding detritus)",429.4682
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003628
"Total market value",2.14144
"Total shadow value",0.07108001
"Total value",2.21252
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4993685
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034798
