parameter,value
"Total consumption",6790.536
"Sum of all exports",1251.737
"Sum of all respiratory flows",2409.927
"Sum of all flows into detritus",3995.082
"Total system throughput",14447.28
"Sum of all production",5362.684
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006330567
"Calculated total net primary production",3607.291
"Total primary production/total respiration",1.496846
"Net system production",1197.363
"Total primary production/total biomass",8.354823
"Total biomass/total throughput",0.0298853
"Total biomass (excluding detritus)",431.7614
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002166
"Total market value",2.14144
"Total shadow value",0.07101732
"Total value",2.212457
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4993058
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032557
