parameter,value
"Total consumption",6853.697
"Sum of all exports",1126.404
"Sum of all respiratory flows",2473.476
"Sum of all flows into detritus",3876.495
"Total system throughput",14330.07
"Sum of all production",5273.759
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006441496
"Calculated total net primary production",3545.169
"Total primary production/total respiration",1.433274
"Net system production",1071.694
"Total primary production/total biomass",8.194198
"Total biomass/total throughput",0.03019132
"Total biomass (excluding detritus)",432.6438
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000186
"Total market value",2.14144
"Total shadow value",0.07179099
"Total value",2.213231
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5000795
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.029569
