parameter,value
"Total consumption",6685.846
"Sum of all exports",1096.309
"Sum of all respiratory flows",2390.534
"Sum of all flows into detritus",3797.09
"Total system throughput",13969.78
"Sum of all production",5144.815
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.000665125
"Calculated total net primary production",3433.369
"Total primary production/total respiration",1.436235
"Net system production",1042.835
"Total primary production/total biomass",8.012388
"Total biomass/total throughput",0.0306739
"Total biomass (excluding detritus)",428.5075
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000995
"Total market value",2.14144
"Total shadow value",0.07110627
"Total value",2.212546
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4993948
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034082
