parameter,value
"Total consumption",6775.599
"Sum of all exports",1058.119
"Sum of all respiratory flows",2438.605
"Sum of all flows into detritus",3851.211
"Total system throughput",14123.54
"Sum of all production",5157.947
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006635612
"Calculated total net primary production",3441.46
"Total primary production/total respiration",1.411241
"Net system production",1002.855
"Total primary production/total biomass",7.952799
"Total biomass/total throughput",0.03063933
"Total biomass (excluding detritus)",432.7357
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200273
"Total market value",2.14144
"Total shadow value",0.0726864
"Total value",2.214126
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.500975
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.028338
