parameter,value
"Total consumption",6712.565
"Sum of all exports",1059.103
"Sum of all respiratory flows",2398.662
"Sum of all flows into detritus",3747.952
"Total system throughput",13918.28
"Sum of all production",5121.968
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006710376
"Calculated total net primary production",3403.117
"Total primary production/total respiration",1.418756
"Net system production",1004.455
"Total primary production/total biomass",7.952489
"Total biomass/total throughput",0.03074597
"Total biomass (excluding detritus)",427.931
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002344
"Total market value",2.14144
"Total shadow value",0.07434639
"Total value",2.215786
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5026349
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.037338
