parameter,value
"Total consumption",6771.198
"Sum of all exports",1161.341
"Sum of all respiratory flows",2417.426
"Sum of all flows into detritus",3870.032
"Total system throughput",14220
"Sum of all production",5259.895
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006478687
"Calculated total net primary production",3524.818
"Total primary production/total respiration",1.458088
"Net system production",1107.393
"Total primary production/total biomass",8.219092
"Total biomass/total throughput",0.03015876
"Total biomass (excluding detritus)",428.8574
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.20039
"Total market value",2.14144
"Total shadow value",0.07209535
"Total value",2.213535
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.500384
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032932
