parameter,value
"Total consumption",6844.429
"Sum of all exports",1172.119
"Sum of all respiratory flows",2460.116
"Sum of all flows into detritus",3939.037
"Total system throughput",14415.7
"Sum of all production",5314.935
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.00063805
"Calculated total net primary production",3579.06
"Total primary production/total respiration",1.454834
"Net system production",1118.944
"Total primary production/total biomass",8.286017
"Total biomass/total throughput",0.02996314
"Total biomass (excluding detritus)",431.9397
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2003293
"Total market value",2.14144
"Total shadow value",0.06700204
"Total value",2.208442
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4952906
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.032261
