parameter,value
"Total consumption",6742.417
"Sum of all exports",1139.795
"Sum of all respiratory flows",2451.907
"Sum of all flows into detritus",3894.368
"Total system throughput",14228.49
"Sum of all production",5219.89
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006456988
"Calculated total net primary production",3536.664
"Total primary production/total respiration",1.442413
"Net system production",1084.756
"Total primary production/total biomass",8.195374
"Total biomass/total throughput",0.03032957
"Total biomass (excluding detritus)",431.5439
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.199934
"Total market value",2.14144
"Total shadow value",0.06984911
"Total value",2.211289
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4981376
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.029013
