parameter,value
"Total consumption",6821.69
"Sum of all exports",1081.011
"Sum of all respiratory flows",2446.766
"Sum of all flows into detritus",3845.871
"Total system throughput",14195.34
"Sum of all production",5209.307
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006578969
"Calculated total net primary production",3471.09
"Total primary production/total respiration",1.418644
"Net system production",1024.324
"Total primary production/total biomass",8.087561
"Total biomass/total throughput",0.03023448
"Total biomass (excluding detritus)",429.1887
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002052
"Total market value",2.14144
"Total shadow value",0.07008502
"Total value",2.211525
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4983736
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.037717
