parameter,value
"Total consumption",6727.185
"Sum of all exports",1035.447
"Sum of all respiratory flows",2408.036
"Sum of all flows into detritus",3741.803
"Total system throughput",13912.47
"Sum of all production",5107.115
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006740949
"Calculated total net primary production",3387.682
"Total primary production/total respiration",1.406824
"Net system production",979.6465
"Total primary production/total biomass",7.934773
"Total biomass/total throughput",0.03068767
"Total biomass (excluding detritus)",426.9413
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002303
"Total market value",2.14144
"Total shadow value",0.07160069
"Total value",2.213041
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4998893
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033367
