parameter,value
"Total consumption",6694.179
"Sum of all exports",1208.545
"Sum of all respiratory flows",2364.744
"Sum of all flows into detritus",3912.852
"Total system throughput",14180.32
"Sum of all production",5259.932
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006492036
"Calculated total net primary production",3517.57
"Total primary production/total respiration",1.487506
"Net system production",1152.826
"Total primary production/total biomass",8.173405
"Total biomass/total throughput",0.03034966
"Total biomass (excluding detritus)",430.3678
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005104
"Total market value",2.14144
"Total shadow value",0.07306642
"Total value",2.214506
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5013551
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.034681
