parameter,value
"Total consumption",6773.585
"Sum of all exports",1218.611
"Sum of all respiratory flows",2419.149
"Sum of all flows into detritus",3994.123
"Total system throughput",14405.47
"Sum of all production",5318.154
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006372388
"Calculated total net primary production",3583.616
"Total primary production/total respiration",1.481354
"Net system production",1164.467
"Total primary production/total biomass",8.354894
"Total biomass/total throughput",0.02977509
"Total biomass (excluding detritus)",428.9242
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005621
"Total market value",2.14144
"Total shadow value",0.07016973
"Total value",2.21161
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4984583
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.035158
