parameter,value
"Total consumption",6767.888
"Sum of all exports",1094.805
"Sum of all respiratory flows",2437.766
"Sum of all flows into detritus",3854.413
"Total system throughput",14154.87
"Sum of all production",5192.635
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006565923
"Calculated total net primary production",3477.987
"Total primary production/total respiration",1.426711
"Net system production",1040.221
"Total primary production/total biomass",8.033049
"Total biomass/total throughput",0.03058733
"Total biomass (excluding detritus)",432.9598
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200073
"Total market value",2.14144
"Total shadow value",0.07085724
"Total value",2.212297
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4991459
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031944
