parameter,value
"Total consumption",6810.213
"Sum of all exports",1175.258
"Sum of all respiratory flows",2439.302
"Sum of all flows into detritus",3941.865
"Total system throughput",14366.64
"Sum of all production",5296.793
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006414145
"Calculated total net primary production",3560.287
"Total primary production/total respiration",1.459551
"Net system production",1120.984
"Total primary production/total biomass",8.253659
"Total biomass/total throughput",0.03002502
"Total biomass (excluding detritus)",431.3586
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999827
"Total market value",2.14144
"Total shadow value",0.06955349
"Total value",2.210993
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.497842
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.029912
