parameter,value
"Total consumption",6761.25
"Sum of all exports",1145.393
"Sum of all respiratory flows",2407.673
"Sum of all flows into detritus",3896.558
"Total system throughput",14210.87
"Sum of all production",5236.453
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006527801
"Calculated total net primary production",3498.298
"Total primary production/total respiration",1.452979
"Net system production",1090.625
"Total primary production/total biomass",8.147331
"Total biomass/total throughput",0.03021486
"Total biomass (excluding detritus)",429.3796
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.20047
"Total market value",2.14144
"Total shadow value",0.06807888
"Total value",2.209519
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4963676
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.029261
