parameter,value
"Total consumption",6715.088
"Sum of all exports",1060.467
"Sum of all respiratory flows",2389.892
"Sum of all flows into detritus",3787.9
"Total system throughput",13953.35
"Sum of all production",5124.271
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006726235
"Calculated total net primary production",3395.093
"Total primary production/total respiration",1.420605
"Net system production",1005.201
"Total primary production/total biomass",7.896281
"Total biomass/total throughput",0.03081418
"Total biomass (excluding detritus)",429.961
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005545
"Total market value",2.14144
"Total shadow value",0.07501465
"Total value",2.216455
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5033032
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033767
