parameter,value
"Total consumption",6809.358
"Sum of all exports",1175.395
"Sum of all respiratory flows",2444.088
"Sum of all flows into detritus",3930.934
"Total system throughput",14359.77
"Sum of all production",5295.717
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006406308
"Calculated total net primary production",3564.642
"Total primary production/total respiration",1.458475
"Net system production",1120.554
"Total primary production/total biomass",8.280928
"Total biomass/total throughput",0.02997708
"Total biomass (excluding detritus)",430.4641
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002356
"Total market value",2.14144
"Total shadow value",0.07272281
"Total value",2.214163
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5010115
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033571
