parameter,value
"Total consumption",6630.667
"Sum of all exports",1068.761
"Sum of all respiratory flows",2381.25
"Sum of all flows into detritus",3720.04
"Total system throughput",13800.72
"Sum of all production",5082.175
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006725774
"Calculated total net primary production",3395.326
"Total primary production/total respiration",1.425859
"Net system production",1014.076
"Total primary production/total biomass",7.906914
"Total biomass/total throughput",0.03111522
"Total biomass (excluding detritus)",429.4123
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2006232
"Total market value",2.14144
"Total shadow value",0.07210601
"Total value",2.213546
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5003947
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033674
