parameter,value
"Total consumption",6805.668
"Sum of all exports",1242.523
"Sum of all respiratory flows",2428.897
"Sum of all flows into detritus",4040.445
"Total system throughput",14517.53
"Sum of all production",5361.295
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006313075
"Calculated total net primary production",3617.285
"Total primary production/total respiration",1.489271
"Net system production",1188.388
"Total primary production/total biomass",8.346845
"Total biomass/total throughput",0.02985159
"Total biomass (excluding detritus)",433.3716
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005675
"Total market value",2.14144
"Total shadow value",0.07284698
"Total value",2.214287
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5011355
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031415
