parameter,value
"Total consumption",6836.197
"Sum of all exports",1146.376
"Sum of all respiratory flows",2440.499
"Sum of all flows into detritus",3893.847
"Total system throughput",14316.92
"Sum of all production",5282.381
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006466268
"Calculated total net primary production",3531.588
"Total primary production/total respiration",1.447076
"Net system production",1091.089
"Total primary production/total biomass",8.179455
"Total biomass/total throughput",0.03015755
"Total biomass (excluding detritus)",431.7632
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001124
"Total market value",2.14144
"Total shadow value",0.0733529
"Total value",2.214793
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5016414
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030283
