parameter,value
"Total consumption",6733.426
"Sum of all exports",1106.495
"Sum of all respiratory flows",2391.397
"Sum of all flows into detritus",3819.76
"Total system throughput",14051.08
"Sum of all production",5183.167
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006629072
"Calculated total net primary production",3444.855
"Total primary production/total respiration",1.44052
"Net system production",1053.458
"Total primary production/total biomass",8.031307
"Total biomass/total throughput",0.03052637
"Total biomass (excluding detritus)",428.9284
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005359
"Total market value",2.14144
"Total shadow value",0.07298864
"Total value",2.214429
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5012773
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033406
