parameter,value
"Total consumption",6720.812
"Sum of all exports",1122.412
"Sum of all respiratory flows",2410.859
"Sum of all flows into detritus",3829.955
"Total system throughput",14084.04
"Sum of all production",5191.075
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006566569
"Calculated total net primary production",3477.645
"Total primary production/total respiration",1.442492
"Net system production",1066.785
"Total primary production/total biomass",8.160019
"Total biomass/total throughput",0.03025985
"Total biomass (excluding detritus)",426.1809
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2005856
"Total market value",2.14144
"Total shadow value",0.06947516
"Total value",2.210915
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4977638
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.03922
