parameter,value
"Total consumption",6847.808
"Sum of all exports",1092.52
"Sum of all respiratory flows",2459.18
"Sum of all flows into detritus",3873.871
"Total system throughput",14273.38
"Sum of all production",5235.121
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006533519
"Calculated total net primary production",3495.236
"Total primary production/total respiration",1.421302
"Net system production",1036.056
"Total primary production/total biomass",8.114092
"Total biomass/total throughput",0.03017935
"Total biomass (excluding detritus)",430.7612
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1998986
"Total market value",2.14144
"Total shadow value",0.06944533
"Total value",2.210885
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.497734
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030206
