parameter,value
"Total consumption",6758.607
"Sum of all exports",1133.52
"Sum of all respiratory flows",2401.883
"Sum of all flows into detritus",3871.181
"Total system throughput",14165.19
"Sum of all production",5225.611
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006560451
"Calculated total net primary production",3480.888
"Total primary production/total respiration",1.449233
"Net system production",1079.005
"Total primary production/total biomass",8.105825
"Total biomass/total throughput",0.03031589
"Total biomass (excluding detritus)",429.4304
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.200013
"Total market value",2.14144
"Total shadow value",0.06985626
"Total value",2.211296
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4981447
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.031546
