parameter,value
"Total consumption",6812.283
"Sum of all exports",1138.045
"Sum of all respiratory flows",2448.19
"Sum of all flows into detritus",3885.505
"Total system throughput",14284.02
"Sum of all production",5260.289
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006469043
"Calculated total net primary production",3530.073
"Total primary production/total respiration",1.441911
"Net system production",1081.883
"Total primary production/total biomass",8.174098
"Total biomass/total throughput",0.03023384
"Total biomass (excluding detritus)",431.8609
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2002537
"Total market value",2.14144
"Total shadow value",0.07180718
"Total value",2.213247
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.5000957
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033401
