parameter,value
"Total consumption",6817.068
"Sum of all exports",1121.671
"Sum of all respiratory flows",2452.993
"Sum of all flows into detritus",3910.119
"Total system throughput",14301.85
"Sum of all production",5246.346
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006488073
"Calculated total net primary production",3519.719
"Total primary production/total respiration",1.434867
"Net system production",1066.726
"Total primary production/total biomass",8.127263
"Total biomass/total throughput",0.03028109
"Total biomass (excluding detritus)",433.0756
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2001799
"Total market value",2.14144
"Total shadow value",0.068979
"Total value",2.210419
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4972676
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.030147
