parameter,value
"Total consumption",6668.34
"Sum of all exports",1194.256
"Sum of all respiratory flows",2384.689
"Sum of all flows into detritus",3882.122
"Total system throughput",14129.41
"Sum of all production",5230.131
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006478915
"Calculated total net primary production",3524.694
"Total primary production/total respiration",1.478052
"Net system production",1140.005
"Total primary production/total biomass",8.281343
"Total biomass/total throughput",0.0301229
"Total biomass (excluding detritus)",425.6187
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.2000763
"Total market value",2.14144
"Total shadow value",0.06706043
"Total value",2.2085
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.495349
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.033145
