parameter,value
"Total consumption",6720.268
"Sum of all exports",1153.434
"Sum of all respiratory flows",2430.81
"Sum of all flows into detritus",3919.257
"Total system throughput",14223.77
"Sum of all production",5220.746
"Mean trophic level of the catch",4.086669
"Gross efficiency (catch/net p.p.)",0.0006469416
"Calculated total net primary production",3529.869
"Total primary production/total respiration",1.452137
"Net system production",1099.06
"Total primary production/total biomass",8.22641
"Total biomass/total throughput",0.0301671
"Total biomass (excluding detritus)",429.0899
"Total catch",2.283619
"Connectance index",0.1270115
"System omnivory index",0.1999268
"Total market value",2.14144
"Total shadow value",0.06774657
"Total value",2.209187
"Total fixed cost",0
"Total variable cost",1.713151
"Total cost",1.713151
"Total profit",0.4960352
Pedigree,0.5863454
"Measure of fit, t*",5.464786
Diversity,3.028102
